"Constant","Command","Source"
"ADD_CMD","add","CommandLine.h"
"ARP_SCAN_CMD","arpscan","CommandLine.h"
"HELP_ARP_SCAN_CMD","arpscan [-f]","CommandLine.h"
"ATTACK_CMD","attack","CommandLine.h"
"HELP_ATTACK_CMD","attack -t <quiet/csa/sae/beacon [-l/-r/-a]/deauth [-c]/[-s <src mac>] [-d <dst mac>]/probe/rickroll/badmsg [-c]/sleep [-c]>","CommandLine.h"
"BT_SPAM_CMD","blespam","CommandLine.h"
"HELP_BT_SPAM_CMD","blespam -t <sourapple/applejuice/google/samsung/windows/flipper/all>","CommandLine.h"
"BRIGHTNESS_CMD","brightness","CommandLine.h"
"HELP_BRIGHTNESS_CMD","brightness [-c cycle] [-s <0-9>]","CommandLine.h"
"BT_WARDRIVE_CMD","btwardrive","CommandLine.h"
"HELP_BT_WARDRIVE_CMD","btwardrive","CommandLine.h"
"CH_CMD","channel","CommandLine.h"
"HELP_CH_CMD","channel [-s <channel>]","CommandLine.h"
"CLEARAP_CMD","clearlist","CommandLine.h"
"EVIL_PORTAL_CMD","evilportal","CommandLine.h"
"HELP_EVIL_PORTAL_CMD","evilportal [-c start [-w html.html]/sethtml <html.html>]","CommandLine.h"
"GPS_CMD","gps","CommandLine.h"
"HELP_GPS_CMD","gps [-t] [-g] <fix/sat/lon/lat/alt/date/accuracy/text/nmea>\r\n    [-n] <native/all/gps/glonass/galileo/navic/qzss/beidou>\r\n         [-b = use BD vs GB for beidou]","CommandLine.h"
"GPS_DATA_CMD","gpsdata","CommandLine.h"
"HELP_GPS_DATA_CMD","gpsdata","CommandLine.h"
"GPS_POI_CMD","gpspoi","CommandLine.h"
"HELP_GPS_POI_CMD","gpspoi -s/-m/-e","CommandLine.h"
"GPS_TRACKER_CMD","gpstracker","CommandLine.h"
"HELP_GPS_TRACKER_CMD","gpstracker -c <start/stop>","CommandLine.h"
"HELP_CMD","help","CommandLine.h"
"INFO_CMD","info","CommandLine.h"
"HELP_INFO_CMD","info [-a <index>]","CommandLine.h"
"JOIN_CMD","join","CommandLine.h"
"HELP_JOIN_CMD","join -a <index> -p <password>/-s","CommandLine.h"
"KARMA_CMD","karma","CommandLine.h"
"HELP_KARMA_CMD","karma -p <index>","CommandLine.h"
"LED_CMD","led","CommandLine.h"
"HELP_LED_CMD","led -s <hex color>/-p <rainbow>","CommandLine.h"
"LIST_AP_CMD","list","CommandLine.h"
"LOAD_CMD","load","CommandLine.h"
"HELP_LOAD_CMD","load -a/-s","CommandLine.h"
"LS_CMD","ls","CommandLine.h"
"HELP_LS_CMD","ls <directory>","CommandLine.h"
"MAC_TRACK_CMD","mactrack","CommandLine.h"
"HELP_MAC_TRACK_CMD","mactrack","CommandLine.h"
"HELP_NMEA_CMD","nmea","CommandLine.h"
"NMEA_CMD","nmea","CommandLine.h"
"PACKET_COUNT_CMD","packetcount","CommandLine.h"
"HELP_PACKET_COUNT_CMD","packetcount","CommandLine.h"
"PING_CMD","pingscan","CommandLine.h"
"HELP_PING_CMD","pingscan","CommandLine.h"
"PORT_SCAN_CMD","portscan","CommandLine.h"
"HELP_PORT_SCAN_CMD","portscan [-a -t <ip index>]/[-s <ssh/telnet/dns/http/smtp/https/rdp>]","CommandLine.h"
"HELP_REBOOT_CMD","reboot","CommandLine.h"
"REBOOT_CMD","reboot","CommandLine.h"
"HELP_BT_SAMSUNG_SPAM_CMD","samsungblespam","CommandLine.h"
"SAVE_CMD","save","CommandLine.h"
"HELP_SAVE_CMD","save -a/-s","CommandLine.h"
"SCAN_ALL_CMD","scanall","CommandLine.h"
"HELP_SCAN_ALL_CMD","scanall","CommandLine.h"
"SCANSTA_CMD","scansta","CommandLine.h"
"HELP_SCANSTA_CMD","scansta","CommandLine.h"
"SEL_CMD","select","CommandLine.h"
"SETTINGS_CMD","settings","CommandLine.h"
"HELP_SETTINGS_CMD","settings [-s <setting> enable/disable>]/[-r]","CommandLine.h"
"HELP_SIGSTREN_CMD","sigmon","CommandLine.h"
"SIGSTREN_CMD","sigmon","CommandLine.h"
"HELP_SNIFF_BEACON_CMD","sniffbeacon","CommandLine.h"
"SNIFF_BEACON_CMD","sniffbeacon","CommandLine.h"
"BT_SNIFF_CMD","sniffbt","CommandLine.h"
"HELP_BT_SNIFF_CMD","sniffbt [-t] <airtag/flipper/flock/meta>","CommandLine.h"
"HELP_SNIFF_DEAUTH_CMD","sniffdeauth","CommandLine.h"
"SNIFF_DEAUTH_CMD","sniffdeauth","CommandLine.h"
"HELP_SNIFF_MULTISSID_CMD","sniffmultissid","CommandLine.h"
"SNIFF_MULTISSID_CMD","sniffmultissid","CommandLine.h"
"SNIFF_PINESCAN_CMD","sniffpinescan","CommandLine.h"
"HELP_SNIFF_PINESCAN_CMD","sniffpinescan","CommandLine.h"
"SNIFF_PMKID_CMD","sniffpmkid","CommandLine.h"
"HELP_SNIFF_PMKID_CMD","sniffpmkid [-c <channel>][-d][-l]","CommandLine.h"
"SNIFF_PROBE_CMD","sniffprobe","CommandLine.h"
"HELP_SNIFF_PROBE_CMD","sniffprobe","CommandLine.h"
"SNIFF_PWN_CMD","sniffpwn","CommandLine.h"
"HELP_SNIFF_PWN_CMD","sniffpwn","CommandLine.h"
"HELP_SNIFF_RAW_CMD","sniffraw","CommandLine.h"
"SNIFF_RAW_CMD","sniffraw","CommandLine.h"
"SNIFF_SAE_CMD","sniffsae","CommandLine.h"
"HELP_SNIFF_SAE_CMD","sniffsae","CommandLine.h"
"HELP_BT_SKIM_CMD","sniffskim","CommandLine.h"
"BT_SKIM_CMD","sniffskim","CommandLine.h"
"HELP_BT_SOUR_APPLE_CMD","sourapple","CommandLine.h"
"BT_SPOOFAT_CMD","spoofat","CommandLine.h"
"HELP_BT_SPOOFAT_CMD","spoofat -t <index>","CommandLine.h"
"SSID_CMD","ssid","CommandLine.h"
"STOPSCAN_CMD","stopscan","CommandLine.h"
"HELP_STOPSCAN_CMD","stopscan [-f]","CommandLine.h"
"HELP_BT_SWIFTPAIR_SPAM_CMD","swiftpair","CommandLine.h"
"UPDATE_CMD","update","CommandLine.h"
"WARDRIVE_CMD","wardrive","CommandLine.h"
"HELP_WARDRIVE_CMD","wardrive","CommandLine.h"
"WARDRIVEPOI_CMD","wardrivepoi","CommandLine.h"
"HELP_WARDRIVEPOI_CMD","wardrivepoi [label] - Tag a GPS POI during wardrive","CommandLine.h"
