"Symbol","Command","Line","Status"
"ADD_CMD","add","111","needs_ghostseal_test"
"ARP_SCAN_CMD","arpscan","82","needs_ghostseal_test"
"HELP_ARP_SCAN_CMD","arpscan [-f]","158","needs_ghostseal_test"
"ATTACK_CMD","attack","87","needs_ghostseal_test"
"HELP_ATTACK_CMD","attack -t <quiet/csa/sae/beacon [-l/-r/-a]/deauth [-c]/[-s <src mac>] [-d <dst mac>]/probe/rickroll/badmsg [-c]/sleep [-c]>","163","needs_ghostseal_test"
"BT_SPAM_CMD","blespam","114","needs_ghostseal_test"
"HELP_BT_SPAM_CMD","blespam -t <sourapple/applejuice/google/samsung/windows/flipper/all>","188","needs_ghostseal_test"
"BRIGHTNESS_CMD","brightness","197","needs_ghostseal_test"
"HELP_BRIGHTNESS_CMD","brightness [-c cycle] [-s <0-9>]","198","needs_ghostseal_test"
"BT_WARDRIVE_CMD","btwardrive","117","needs_ghostseal_test"
"CH_CMD","channel","49","needs_ghostseal_test"
"HELP_CH_CMD","channel [-s <channel>]","126","needs_ghostseal_test"
"CLEARAP_CMD","clearlist","50","needs_ghostseal_test"
"EVIL_PORTAL_CMD","evilportal","64","needs_ghostseal_test"
"HELP_EVIL_PORTAL_CMD","evilportal [-c start [-w html.html]/sethtml <html.html>]","140","needs_ghostseal_test"
"GPS_CMD","gps","58","needs_ghostseal_test"
"HELP_GPS_CMD","gps [-t] [-g] <fix/sat/lon/lat/alt/date/accuracy/text/nmea>\r\n    [-n] <native/all/gps/glonass/galileo/navic/qzss/beidou>\r\n         [-b = use BD vs GB for beidou]","134","needs_ghostseal_test"
"GPS_DATA_CMD","gpsdata","57","needs_ghostseal_test"
"GPS_POI_CMD","gpspoi","60","needs_ghostseal_test"
"HELP_GPS_POI_CMD","gpspoi -s/-m/-e","135","needs_ghostseal_test"
"GPS_TRACKER_CMD","gpstracker","61","needs_ghostseal_test"
"HELP_GPS_TRACKER_CMD","gpstracker -c <start/stop>","136","needs_ghostseal_test"
"HELP_CMD","help","53","needs_ghostseal_test"
"INFO_CMD","info","101","needs_ghostseal_test"
"HELP_INFO_CMD","info [-a <index>]","172","needs_ghostseal_test"
"JOIN_CMD","join","106","needs_ghostseal_test"
"HELP_JOIN_CMD","join -a <index> -p <password>/-s","178","needs_ghostseal_test"
"KARMA_CMD","karma","65","needs_ghostseal_test"
"HELP_KARMA_CMD","karma -p <index>","141","needs_ghostseal_test"
"LED_CMD","led","56","needs_ghostseal_test"
"HELP_LED_CMD","led -s <hex color>/-p <rainbow>","132","needs_ghostseal_test"
"LIST_AP_CMD","list","100","needs_ghostseal_test"
"LOAD_CMD","load","105","needs_ghostseal_test"
"HELP_LOAD_CMD","load -a/-s","177","needs_ghostseal_test"
"LS_CMD","ls","55","needs_ghostseal_test"
"HELP_LS_CMD","ls <directory>","131","needs_ghostseal_test"
"MAC_TRACK_CMD","mactrack","83","needs_ghostseal_test"
"HELP_NMEA_CMD","nmea","137","needs_ghostseal_test"
"PACKET_COUNT_CMD","packetcount","66","needs_ghostseal_test"
"PING_CMD","pingscan","80","needs_ghostseal_test"
"PORT_SCAN_CMD","portscan","81","needs_ghostseal_test"
"HELP_PORT_SCAN_CMD","portscan [-a -t <ip index>]/[-s <ssh/telnet/dns/http/smtp/https/rdp>]","157","needs_ghostseal_test"
"HELP_REBOOT_CMD","reboot","128","needs_ghostseal_test"
"HELP_BT_SAMSUNG_SPAM_CMD","samsungblespam","192","needs_ghostseal_test"
"SAVE_CMD","save","104","needs_ghostseal_test"
"HELP_SAVE_CMD","save -a/-s","176","needs_ghostseal_test"
"SCAN_ALL_CMD","scanall","68","needs_ghostseal_test"
"SCANSTA_CMD","scansta","69","needs_ghostseal_test"
"SEL_CMD","select","102","needs_ghostseal_test"
"SETTINGS_CMD","settings","54","needs_ghostseal_test"
